Gamma,最短移动步数,最迟保证到达日,初购水,初购食物,初购后现金,保证财富下界,最短路径,结果性质
0,8,8,144,144,7840,7840.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
1,8,9,154,154,7690,7690.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
2,8,10,164,164,7540,7540.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
3,8,11,174,174,7390,7390.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
4,8,12,184,184,7240,7240.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
5,8,13,194,194,7090,7090.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
6,8,14,204,204,6940,6940.0,1-2-3-4-5-10-15-20-25,第四关预算鲁棒模型的可行性下界（非全局最优解）
